70 242
1 20 1
1 26 1
1 47 1
1 56 1
2 15 1
2 20 1
2 50 1
2 56 1
2 64 1
3 4 1
3 7 1
3 14 1
3 35 1
3 40 1
3 43 1
3 62 1
3 70 1
4 11 1
4 13 1
4 14 1
4 17 1
4 20 1
4 27 1
4 36 1
4 37 1
4 45 1
4 51 1
4 56 1
4 62 1
4 63 1
4 66 1
5 14 1
5 16 1
5 25 1
5 26 1
5 36 1
5 41 1
5 44 1
5 49 1
5 61 1
6 12 1
6 21 1
6 27 1
6 31 1
6 35 1
6 36 1
6 50 1
6 57 1
6 59 1
6 61 1
6 70 1
7 30 1
7 44 1
7 58 1
8 19 1
8 30 1
8 31 1
8 45 1
8 48 1
9 23 1
9 41 1
9 49 1
9 51 1
9 60 1
10 11 1
10 44 1
10 58 1
11 17 1
11 31 1
11 41 1
11 47 1
11 55 1
11 56 1
11 60 1
12 16 1
12 20 1
12 22 1
12 29 1
12 33 1
12 36 1
12 38 1
12 64 1
13 23 1
13 30 1
13 44 1
13 58 1
13 61 1
13 65 1
14 50 1
14 59 1
14 60 1
14 61 1
14 66 1
15 22 1
15 42 1
15 52 1
15 53 1
15 54 1
15 57 1
15 58 1
16 34 1
16 35 1
16 38 1
16 40 1
16 51 1
16 53 1
16 61 1
17 28 1
17 40 1
17 41 1
17 53 1
17 58 1
17 67 1
18 26 1
19 33 1
19 62 1
19 67 1
20 28 1
20 37 1
20 42 1
21 29 1
21 31 1
21 39 1
21 53 1
22 25 1
22 39 1
22 46 1
22 53 1
22 55 1
22 70 1
23 32 1
23 47 1
23 69 1
24 38 1
24 63 1
24 70 1
25 31 1
25 51 1
25 52 1
25 53 1
25 54 1
25 55 1
25 62 1
26 42 1
26 50 1
26 53 1
26 54 1
26 66 1
27 29 1
27 40 1
27 64 1
27 65 1
27 68 1
28 35 1
28 37 1
28 41 1
28 65 1
28 69 1
29 34 1
29 36 1
29 42 1
30 40 1
30 43 1
30 47 1
30 50 1
30 54 1
30 59 1
31 47 1
31 51 1
31 54 1
31 55 1
31 57 1
31 60 1
31 66 1
32 40 1
32 54 1
32 56 1
32 67 1
33 36 1
33 37 1
33 44 1
33 58 1
33 69 1
33 70 1
34 36 1
34 50 1
34 56 1
34 59 1
34 64 1
34 69 1
34 70 1
35 43 1
35 45 1
35 65 1
36 47 1
36 49 1
36 51 1
36 68 1
37 42 1
37 43 1
37 49 1
37 56 1
37 58 1
37 61 1
37 70 1
38 49 1
38 55 1
40 60 1
41 50 1
42 60 1
42 69 1
43 49 1
43 53 1
43 60 1
44 52 1
44 65 1
45 51 1
46 47 1
46 54 1
47 52 1
48 57 1
48 69 1
49 62 1
50 53 1
51 56 1
51 67 1
52 56 1
52 57 1
54 60 1
54 68 1
55 68 1
55 69 1
58 68 1
59 63 1
59 70 1
60 64 1
60 68 1
62 70 1
64 69 1
66 69 1
66 70 1
69 70 1
